"filename", "language", "Python", "JavaScript", "CSS", "YAML", "HTML", "toml", "Markdown", "pip requirements", "comment", "blank", "total"
"/Users/prakhartrivedi/Desktop/Access copy/.github/workflows/codeql.yml", "YAML", 0, 0, 0, 31, 0, 0, 0, 0, 29, 11, 71
"/Users/prakhartrivedi/Desktop/Access copy/.gitpod.yml", "YAML", 0, 0, 0, 6, 0, 0, 0, 0, 3, 3, 12
"/Users/prakhartrivedi/Desktop/Access copy/AFManager.py", "Python", 74, 0, 0, 0, 0, 0, 0, 0, 0, 15, 89
"/Users/prakhartrivedi/Desktop/Access copy/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 105, 0, 0, 77, 182
"/Users/prakhartrivedi/Desktop/Access copy/accessAnalytics.py", "Python", 544, 0, 0, 0, 0, 0, 0, 0, 122, 114, 780
"/Users/prakhartrivedi/Desktop/Access copy/accessCheckup.py", "Python", 282, 0, 0, 0, 0, 0, 0, 0, 21, 50, 353
"/Users/prakhartrivedi/Desktop/Access copy/accessStartup.py", "Python", 238, 0, 0, 0, 0, 0, 0, 0, 30, 28, 296
"/Users/prakhartrivedi/Desktop/Access copy/activation.py", "Python", 220, 0, 0, 0, 0, 0, 0, 0, 40, 40, 300
"/Users/prakhartrivedi/Desktop/Access copy/admin.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/prakhartrivedi/Desktop/Access copy/api.py", "Python", 609, 0, 0, 0, 0, 0, 0, 0, 157, 177, 943
"/Users/prakhartrivedi/Desktop/Access copy/assets.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 1, 15, 61
"/Users/prakhartrivedi/Desktop/Access copy/bootCheck.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 4, 4, 26
"/Users/prakhartrivedi/Desktop/Access copy/certAuthority.py", "Python", 196, 0, 0, 0, 0, 0, 0, 0, 19, 34, 249
"/Users/prakhartrivedi/Desktop/Access copy/config.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 1, 15, 115
"/Users/prakhartrivedi/Desktop/Access copy/copyright.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/prakhartrivedi/Desktop/Access copy/docs/_config.yml", "YAML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/prakhartrivedi/Desktop/Access copy/docs/index.md", "Markdown", 0, 0, 0, 0, 0, 0, 41, 0, 0, 33, 74
"/Users/prakhartrivedi/Desktop/Access copy/emailOTP.py", "Python", 68, 0, 0, 0, 0, 0, 0, 0, 11, 19, 98
"/Users/prakhartrivedi/Desktop/Access copy/emailer.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 1, 6, 41
"/Users/prakhartrivedi/Desktop/Access copy/identityMeta.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/prakhartrivedi/Desktop/Access copy/main.py", "Python", 248, 0, 0, 0, 0, 0, 0, 0, 25, 53, 326
"/Users/prakhartrivedi/Desktop/Access copy/models.py", "Python", 82, 0, 0, 0, 0, 0, 0, 0, 0, 13, 95
"/Users/prakhartrivedi/Desktop/Access copy/poetry.lock", "toml", 0, 0, 0, 0, 0, 352, 0, 0, 0, 35, 387
"/Users/prakhartrivedi/Desktop/Access copy/portal.py", "Python", 281, 0, 0, 0, 0, 0, 0, 0, 33, 71, 385
"/Users/prakhartrivedi/Desktop/Access copy/pyproject.toml", "toml", 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"/Users/prakhartrivedi/Desktop/Access copy/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 25
"/Users/prakhartrivedi/Desktop/Access copy/stylesheets/fancyButtonStyle.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/prakhartrivedi/Desktop/Access copy/supportJSFiles/createID.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 0, 0, 5, 122
"/Users/prakhartrivedi/Desktop/Access copy/supportJSFiles/deleteFile.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 4, 76
"/Users/prakhartrivedi/Desktop/Access copy/supportJSFiles/deleteIdentity.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 7, 75
"/Users/prakhartrivedi/Desktop/Access copy/supportJSFiles/emailPref.js", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 0, 6, 12, 170
"/Users/prakhartrivedi/Desktop/Access copy/supportJSFiles/folderRegistration.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 2, 46
"/Users/prakhartrivedi/Desktop/Access copy/supportJSFiles/logout.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 3, 63
"/Users/prakhartrivedi/Desktop/Access copy/supportJSFiles/passwordReset.js", "JavaScript", 0, 163, 0, 0, 0, 0, 0, 0, 3, 18, 184
"/Users/prakhartrivedi/Desktop/Access copy/supportJSFiles/portalHome.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/prakhartrivedi/Desktop/Access copy/supportJSFiles/signIn.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 3, 83
"/Users/prakhartrivedi/Desktop/Access copy/supportJSFiles/updateEmailConfirmation.js", "JavaScript", 0, 145, 0, 0, 0, 0, 0, 0, 2, 16, 163
"/Users/prakhartrivedi/Desktop/Access copy/supportJSFiles/updatePassword.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 8, 80
"/Users/prakhartrivedi/Desktop/Access copy/templates/baseNav.html", "HTML", 0, 0, 0, 0, 78, 0, 0, 0, 20, 18, 116
"/Users/prakhartrivedi/Desktop/Access copy/templates/baseXNav.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"/Users/prakhartrivedi/Desktop/Access copy/templates/createIdentity.html", "HTML", 0, 0, 0, 0, 82, 0, 0, 0, 1, 6, 89
"/Users/prakhartrivedi/Desktop/Access copy/templates/emails/confirmEmailUpdate.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
"/Users/prakhartrivedi/Desktop/Access copy/templates/emails/fileDeleted.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"/Users/prakhartrivedi/Desktop/Access copy/templates/emails/fileUploaded.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"/Users/prakhartrivedi/Desktop/Access copy/templates/emails/folderRegistered.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
"/Users/prakhartrivedi/Desktop/Access copy/templates/emails/loginEmail.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"/Users/prakhartrivedi/Desktop/Access copy/templates/emails/otpEmail.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"/Users/prakhartrivedi/Desktop/Access copy/templates/emails/passwordResetKey.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
"/Users/prakhartrivedi/Desktop/Access copy/templates/emails/passwordUpdated.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
"/Users/prakhartrivedi/Desktop/Access copy/templates/error.html", "HTML", 0, 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"/Users/prakhartrivedi/Desktop/Access copy/templates/homepage.html", "HTML", 0, 0, 0, 0, 49, 0, 0, 0, 0, 4, 53
"/Users/prakhartrivedi/Desktop/Access copy/templates/loginIdentity.html", "HTML", 0, 0, 0, 0, 53, 0, 0, 0, 0, 5, 58
"/Users/prakhartrivedi/Desktop/Access copy/templates/logout.html", "HTML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"/Users/prakhartrivedi/Desktop/Access copy/templates/passwordReset.html", "HTML", 0, 0, 0, 0, 82, 0, 0, 0, 0, 8, 90
"/Users/prakhartrivedi/Desktop/Access copy/templates/portal/deleteListing.html", "HTML", 0, 0, 0, 0, 57, 0, 0, 0, 0, 4, 61
"/Users/prakhartrivedi/Desktop/Access copy/templates/portal/folderRegistration.html", "HTML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"/Users/prakhartrivedi/Desktop/Access copy/templates/portal/newUpload.html", "HTML", 0, 0, 0, 0, 68, 0, 0, 0, 0, 8, 76
"/Users/prakhartrivedi/Desktop/Access copy/templates/portal/portalFolder.html", "HTML", 0, 0, 0, 0, 102, 0, 0, 0, 0, 9, 111
"/Users/prakhartrivedi/Desktop/Access copy/templates/portal/portalFolderDeleteFile.html", "HTML", 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"/Users/prakhartrivedi/Desktop/Access copy/templates/portal/portalHome.html", "HTML", 0, 0, 0, 0, 40, 0, 0, 0, 0, 3, 43
"/Users/prakhartrivedi/Desktop/Access copy/templates/portal/settings/certificateStatus.html", "HTML", 0, 0, 0, 0, 68, 0, 0, 0, 5, 8, 81
"/Users/prakhartrivedi/Desktop/Access copy/templates/portal/settings/emailPreferences.html", "HTML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 6, 42
"/Users/prakhartrivedi/Desktop/Access copy/templates/portal/settings/identityDeleteConfirmation.html", "HTML", 0, 0, 0, 0, 57, 0, 0, 0, 0, 6, 63
"/Users/prakhartrivedi/Desktop/Access copy/templates/portal/settings/identityInfo.html", "HTML", 0, 0, 0, 0, 67, 0, 0, 0, 5, 8, 80
"/Users/prakhartrivedi/Desktop/Access copy/templates/portal/settings/updateEmailConfirmation.html", "HTML", 0, 0, 0, 0, 81, 0, 0, 0, 0, 9, 90
"/Users/prakhartrivedi/Desktop/Access copy/templates/portal/settings/updatePassword.html", "HTML", 0, 0, 0, 0, 69, 0, 0, 0, 0, 6, 75
"/Users/prakhartrivedi/Desktop/Access copy/templates/renewSuccess.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 25
"/Users/prakhartrivedi/Desktop/Access copy/templates/unauthorised.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"/Users/prakhartrivedi/Desktop/Access copy/templates/version.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 22
"/Users/prakhartrivedi/Desktop/Access copy/updater.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 5, 14, 84
"Total", "-", 3133, 977, 21, 42, 1380, 369, 146, 24, 544, 1047, 7683